City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Kruisfontein,ZA,-34.0033,24.7314,63.88,63,8,15.41,clear sky
305,Dukat,RU,62.55,155.55,7.77,91,51,4.54,broken clouds
306,Sayat,TM,38.7839,63.8803,51.67,36,0,7.81,clear sky
307,Emerald,AU,-23.5333,148.1667,71.74,59,0,12.66,clear sky
308,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,101.1,28,72,13.91,broken clouds
309,Macklin,CA,52.3334,-109.9348,36.73,32,22,4.25,few clouds
310,Yarada,IN,17.65,83.2667,82.72,89,75,5.75,mist
311,Alice Springs,AU,-23.7,133.8833,80.15,24,96,12.66,overcast clouds
312,Whitehorse,CA,60.7161,-135.0538,36.37,74,40,15.99,scattered clouds
313,Hobyo,SO,5.3505,48.5268,78.78,82,38,13.53,scattered clouds
314,Port Stanley,FK,-51.7,-57.85,53.89,57,13,14.63,few clouds
315,Hithadhoo,MV,-0.6,73.0833,83.53,67,100,7.47,overcast clouds
316,Iqaluit,CA,63.7506,-68.5145,37.13,86,90,8.01,overcast clouds
317,Vallenar,CL,-28.5708,-70.7581,71.1,23,0,9.26,clear sky
318,Poum,NC,-20.2333,164.0167,72.54,71,42,14.16,scattered clouds
319,Verkhniy Fiagdon,RU,42.8333,44.3053,39.87,61,99,5.08,overcast clouds
320,Chokurdakh,RU,70.6333,147.9167,0.68,100,98,4.59,overcast clouds
321,Rapid City,US,44.0805,-103.231,58.55,94,90,4.0,moderate rain
322,Zeya,RU,53.75,127.2667,36.77,89,100,4.72,overcast clouds
323,Oistins,BB,13.0667,-59.5333,86.09,70,75,16.11,broken clouds
324,Pacific Grove,US,36.6177,-121.9166,58.57,72,90,1.99,overcast clouds
325,Omsukchan,RU,62.5333,155.8,9.16,87,80,4.03,broken clouds
326,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,64,90,12.66,overcast clouds
327,Hohoe,GH,7.1518,0.4736,84.16,79,100,0.34,light rain
328,Makakilo City,US,21.3469,-158.0858,75.56,69,90,5.75,overcast clouds
329,Kiunga,PG,-6.1219,141.2906,71.37,99,100,1.63,light rain
330,Kiama,AU,-34.6833,150.8667,64.99,85,64,1.01,moderate rain
331,Harper,LR,4.375,-7.7169,80.44,81,91,7.96,light rain
