City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Maniitsoq,GL,2021-10-04 11:42:56,65.4167,-52.9,36.63,57,67,8.32
146,Komsomolskiy,UZ,2021-10-04 11:42:56,40.4272,71.7189,67.42,34,11,6.91
147,Luderitz,NA,2021-10-04 11:42:57,-26.6481,15.1594,67.08,50,0,7.29
148,Saint George,US,2021-10-04 11:42:57,37.1041,-113.5841,73.35,36,1,0.0
149,Broken Hill,AU,2021-10-04 11:42:58,-31.95,141.4333,60.51,36,2,16.11
150,Los Llanos De Aridane,ES,2021-10-04 11:42:59,28.6585,-17.9182,74.95,84,40,11.5
151,Grindavik,IS,2021-10-04 11:42:59,63.8424,-22.4338,41.9,75,40,31.07
152,Pryyutivka,UA,2021-10-04 11:43:00,48.7209,33.0708,60.35,29,41,10.96
153,Nabire,ID,2021-10-04 11:43:00,-3.3667,135.4833,77.49,90,100,4.05
154,Kuala Terengganu,MY,2021-10-04 11:43:01,5.3302,103.1408,84.15,79,40,0.0
155,Chern,RU,2021-10-04 11:43:01,53.4523,36.9145,51.22,59,98,9.89
156,Tekirdag,TR,2021-10-04 11:41:15,40.978,27.5085,70.95,44,1,14.47
157,Middelkerke,BE,2021-10-04 11:43:02,51.1558,2.8418,64.54,74,40,20.71
158,Sao Filipe,CV,2021-10-04 11:43:02,14.8961,-24.4956,81.28,78,15,3.69
159,Brownsville,US,2021-10-04 11:38:48,25.9018,-97.4975,78.75,92,1,5.75
160,Bambanglipuro,ID,2021-10-04 11:41:02,-7.95,110.2833,59.61,78,34,5.28
161,Bengkulu,ID,2021-10-04 11:43:03,-3.8004,102.2655,78.28,87,80,6.33
162,Banff,CA,2021-10-04 11:43:00,51.1762,-115.5698,42.33,86,7,2.3
163,Te Anau,NZ,2021-10-04 11:43:03,-45.4167,167.7167,46.09,95,79,1.3
164,Harper,LR,2021-10-04 11:43:04,4.375,-7.7169,82.02,74,33,6.87
165,Xicotencatl,MX,2021-10-04 11:43:04,23.0167,-98.8833,74.71,90,100,4.29
166,Cherskiy,RU,2021-10-04 11:43:05,68.75,161.3,19.33,99,93,6.44
167,Samarai,PG,2021-10-04 11:43:05,-10.6167,150.6667,80.44,84,78,11.92
168,Hithadhoo,MV,2021-10-04 11:43:06,-0.6,73.0833,83.57,75,29,18.16
169,Neiafu,TO,2021-10-04 11:43:06,-18.65,-173.9833,76.55,85,49,21.79
170,Cabedelo,BR,2021-10-04 11:43:07,-6.9811,-34.8339,81.27,65,28,15.05
171,Svetlyy,RU,2021-10-04 11:43:07,54.675,20.1347,59.05,56,100,10.89
172,Hilo,US,2021-10-04 11:43:08,19.7297,-155.09,73.13,88,90,6.91
173,Sabha,LY,2021-10-04 11:43:09,27.0377,14.4283,89.26,20,0,5.97
174,Torbay,CA,2021-10-04 11:38:37,47.6666,-52.7314,50.29,94,90,13.8
175,New Norfolk,AU,2021-10-04 11:43:09,-42.7826,147.0587,53.1,75,24,2.57
176,Sulangan,PH,2021-10-04 11:43:09,11.1373,123.7228,80.56,85,100,10.89
177,Mabaruma,GY,2021-10-04 11:43:10,8.2,-59.7833,77.52,96,76,4.41
178,Burnie,AU,2021-10-04 11:43:11,-41.0667,145.9167,51.93,91,62,7.74
179,Ketchikan,US,2021-10-04 11:43:11,55.3422,-131.6461,42.78,91,95,4.5
180,Tashara,RU,2021-10-04 11:43:12,55.5195,83.5094,37.24,94,100,6.64
181,Srednekolymsk,RU,2021-10-04 11:43:12,67.45,153.6833,23.68,96,99,8.52
182,Progreso,MX,2021-10-04 11:43:13,21.2833,-89.6667,77.11,92,48,6.13
183,Coquimbo,CL,2021-10-04 11:43:13,-29.9533,-71.3436,49.73,81,40,2.3
184,Tasiilaq,GL,2021-10-04 11:43:14,65.6145,-37.6368,30.36,58,99,4.25
185,Ormond Beach,US,2021-10-04 11:43:14,29.2858,-81.0559,75.0,80,20,0.0
186,Erzin,TR,2021-10-04 11:43:15,36.9559,36.2,90.12,15,2,4.03
187,Atherton,GB,2021-10-04 11:43:15,53.5237,-2.4935,59.22,71,57,4.0
188,Cidreira,BR,2021-10-04 11:43:16,-30.1811,-50.2056,60.26,69,97,10.74
189,Bulawayo,ZW,2021-10-04 11:43:16,-20.15,28.5833,79.21,39,46,13.53
190,Buala,SB,2021-10-04 11:43:17,-8.145,159.5921,79.56,84,82,3.69
191,Port Hedland,AU,2021-10-04 11:43:17,-20.3167,118.5667,75.25,73,0,11.5
192,Teguise,ES,2021-10-04 11:43:18,29.0605,-13.564,75.42,57,40,25.32
193,Necochea,AR,2021-10-04 11:43:18,-38.5473,-58.7368,48.04,61,21,10.2
194,Tuy Hoa,VN,2021-10-04 11:39:54,13.0833,109.3,78.91,90,96,8.97
195,Vila,PT,2021-10-04 11:43:19,42.0304,-8.1588,56.75,86,80,6.46
196,Kilakarai,IN,2021-10-04 11:43:20,9.2333,78.7833,84.49,70,98,10.04
197,Severo-Yeniseyskiy,RU,2021-10-04 11:43:20,60.3725,93.0408,30.47,88,100,2.46
198,Anadyr,RU,2021-10-04 11:43:21,64.75,177.4833,37.9,93,90,20.0
199,Sistranda,NO,2021-10-04 11:43:21,63.7256,8.834,62.56,64,92,5.88
200,Saskylakh,RU,2021-10-04 11:43:22,71.9167,114.0833,24.49,89,100,15.73
201,Pavagada,IN,2021-10-04 11:43:22,14.1,77.2667,86.97,46,92,8.55
202,Kaitangata,NZ,2021-10-04 11:43:23,-46.2817,169.8464,51.93,81,100,16.93
203,Kamaishi,JP,2021-10-04 11:43:23,39.2667,141.8833,68.11,75,100,7.85
204,Tiznit,MA,2021-10-04 11:43:24,29.5833,-9.5,78.44,38,50,6.62
205,Maarianhamina,AX,2021-10-04 11:43:24,60.0973,19.9348,55.26,88,90,14.97
206,Kasempa,ZM,2021-10-04 11:43:25,-13.4584,25.8338,88.63,30,95,8.19
207,Caceres,ES,2021-10-04 11:43:25,39.522,-6.3748,64.8,34,45,6.93
208,Rzhaksa,RU,2021-10-04 11:43:26,52.1338,42.0264,52.9,57,33,12.53
209,Bud,US,2021-10-04 11:43:26,39.447,-86.1758,64.38,98,24,5.91
210,Najran,SA,2021-10-04 11:43:27,17.4924,44.1277,95.65,17,49,9.19
211,Rome,US,2021-10-04 11:42:56,34.257,-85.1647,69.76,94,90,0.0
212,Cassilandia,BR,2021-10-04 11:43:27,-19.1133,-51.7342,88.52,42,75,8.66
213,Aklavik,CA,2021-10-04 11:43:28,68.2191,-135.0107,32.83,87,99,11.23
214,Grand Forks,US,2021-10-04 11:43:28,47.9417,-97.4337,46.33,81,1,0.0
215,Hasaki,JP,2021-10-04 11:43:29,35.7333,140.8333,72.28,79,1,14.18
216,Mana,GF,2021-10-04 11:43:29,5.6592,-53.7767,82.8,71,15,9.75
217,Erseke,AL,2021-10-04 11:43:30,40.3378,20.6789,72.25,19,0,1.77
218,Leh,IN,2021-10-04 11:43:31,34.1667,77.5833,52.32,38,81,6.02
219,Zasova,CZ,2021-10-04 11:43:31,49.4741,18.0444,71.22,51,13,11.77
220,Agnibilekrou,CI,2021-10-04 11:43:32,7.1344,-3.2047,90.45,49,27,2.89
221,Aykhal,RU,2021-10-04 11:43:32,66.0,111.5,26.15,90,90,2.3
222,Manggar,ID,2021-10-04 11:43:33,-2.8833,108.2667,81.88,74,94,6.89
223,Namatanai,PG,2021-10-04 11:43:33,-3.6667,152.4333,80.06,81,100,4.23
224,Druzhba,UA,2021-10-04 11:43:34,52.0428,33.9453,55.49,56,100,8.43
225,Olafsvik,IS,2021-10-04 11:43:34,64.8945,-23.7142,40.32,67,90,27.65
226,Sao Felix Do Xingu,BR,2021-10-04 11:43:35,-6.6447,-51.995,84.07,63,98,1.99
227,Celestun,MX,2021-10-04 11:43:35,20.8667,-90.4,75.42,90,59,7.9
228,Lipany,SK,2021-10-04 11:43:36,49.1538,20.9638,72.75,45,9,10.25
229,Isangel,VU,2021-10-04 11:43:36,-19.55,169.2667,76.08,90,8,2.06
230,Comodoro Rivadavia,AR,2021-10-04 11:43:37,-45.8667,-67.5,49.86,50,0,11.5
231,Vila Franca Do Campo,PT,2021-10-04 11:43:37,37.7167,-25.4333,79.2,76,74,6.17
232,Araouane,ML,2021-10-04 11:43:38,18.9048,-3.5265,102.09,8,58,9.57
233,Bira,RU,2021-10-04 11:43:38,49.0,132.4667,36.39,78,38,4.45
234,Ourem,PT,2021-10-04 11:43:39,39.6417,-8.5919,69.85,74,61,7.52
235,Shache,CN,2021-10-04 11:43:40,38.4167,77.2406,62.6,29,7,5.12
236,Ahipara,NZ,2021-10-04 11:43:40,-35.1667,173.1667,58.21,97,79,3.98
237,Kodiak,US,2021-10-04 11:43:40,57.79,-152.4072,36.27,69,0,3.94
238,Salina Cruz,MX,2021-10-04 11:41:17,16.1667,-95.2,77.52,75,57,11.07
239,Pisco,PE,2021-10-04 11:42:54,-13.7,-76.2167,57.25,82,90,4.61
240,Qinzhou,CN,2021-10-04 11:43:41,21.95,108.6167,80.78,80,88,6.55
241,Lompoc,US,2021-10-04 11:43:41,34.6391,-120.4579,74.79,100,90,0.0
242,Ville-Marie,CA,2021-10-04 11:43:42,47.3335,-79.433,48.2,92,100,3.11
243,Nelson Bay,AU,2021-10-04 11:43:43,-32.7167,152.15,69.01,45,1,15.01
244,Trelew,AR,2021-10-04 11:43:43,-43.249,-65.3051,53.91,39,7,17.98
245,Monrovia,LR,2021-10-04 11:41:44,6.3005,-10.7969,85.77,72,18,6.62
246,Castro,BR,2021-10-04 11:43:44,-24.7911,-50.0119,63.27,98,100,6.85
247,Limbang,MY,2021-10-04 11:43:44,4.75,115.0,79.11,95,100,2.91
248,Mojo,ET,2021-10-04 11:43:45,8.6,39.1167,74.79,53,94,11.1
249,Marzuq,YE,2021-10-04 11:43:45,14.4,46.4667,83.79,47,80,9.15
250,Obsharovka,RU,2021-10-04 11:43:46,53.125,48.8531,50.58,53,97,9.62
251,Gamba,GA,2021-10-04 11:43:46,-2.65,10.0,81.14,70,99,8.1
252,Sinazongwe,ZM,2021-10-04 11:43:47,-17.2614,27.4618,88.23,45,22,12.73
253,Itarema,BR,2021-10-04 11:43:47,-2.9248,-39.9167,86.29,55,36,16.49
254,Nanortalik,GL,2021-10-04 11:43:48,60.1432,-45.2371,38.66,83,10,10.11
255,Batemans Bay,AU,2021-10-04 11:43:48,-35.7167,150.1833,56.98,53,1,9.24
256,Uetze,DE,2021-10-04 11:43:49,52.4651,10.2047,66.09,67,75,1.01
257,Denpasar,ID,2021-10-04 11:43:49,-8.65,115.2167,80.26,74,40,2.3
258,Irtyshskiy,RU,2021-10-04 11:43:50,58.3333,68.1333,34.12,65,100,9.08
259,Kumluca,TR,2021-10-04 11:43:51,36.3703,30.2869,79.65,48,35,10.89
260,Artigas,UY,2021-10-04 11:43:51,-30.4,-56.4667,54.81,56,0,8.16
261,San Quintin,MX,2021-10-04 11:43:51,30.4833,-115.95,70.0,75,100,4.43
262,Arraial Do Cabo,BR,2021-10-04 11:43:52,-22.9661,-42.0278,75.16,88,75,6.91
263,Tiksi,RU,2021-10-04 11:43:52,71.6872,128.8694,25.48,84,100,26.57
264,Vardo,NO,2021-10-04 11:43:53,70.3705,31.1107,55.15,71,0,29.93
265,Kanker,IN,2021-10-04 11:43:54,20.2719,81.4931,79.99,83,71,3.62
266,Villazon,BO,2021-10-04 11:43:54,-22.0866,-65.5942,48.96,20,0,4.07
267,Callaway,US,2021-10-04 11:43:55,30.153,-85.5699,73.9,92,20,1.99
268,Sumenep,ID,2021-10-04 11:43:55,-7.0167,113.8667,81.34,72,86,1.01
269,Eydhafushi,MV,2021-10-04 11:43:56,5.1033,73.0708,82.42,79,67,20.27
270,Fortuna,US,2021-10-04 11:43:56,40.5982,-124.1573,51.66,69,90,0.0
271,Atasu,KZ,2021-10-04 11:43:57,48.6814,71.6433,37.92,53,100,15.41
272,Porto Novo,BJ,2021-10-04 11:43:57,6.4965,2.6036,87.62,69,64,7.54
273,Loding,NO,2021-10-04 11:43:58,67.3,14.75,60.71,51,0,6.91
274,Nouadhibou,MR,2021-10-04 11:43:58,20.931,-17.0347,84.18,37,2,20.71
275,Bendigo,AU,2021-10-04 11:43:59,-36.7667,144.2833,49.86,61,73,1.01
276,Barcelos,PT,2021-10-04 11:43:59,41.5388,-8.6151,67.84,63,62,6.46
277,Sudogda,RU,2021-10-04 11:44:00,55.9539,40.8629,50.68,61,98,4.79
278,Beringovskiy,RU,2021-10-04 11:44:00,63.05,179.3167,39.6,97,100,22.88
279,Kamina,CD,2021-10-04 11:44:01,-8.7386,24.9906,86.86,37,90,2.84
280,Svetlaya,RU,2021-10-04 11:44:01,46.5389,138.3297,48.16,77,86,5.82
281,Surt,LY,2021-10-04 11:44:02,31.2089,16.5887,82.72,43,0,10.42
282,Lerwick,GB,2021-10-04 11:44:02,60.1545,-1.1494,55.4,82,31,20.15
283,Roald,NO,2021-10-04 11:44:03,62.5833,6.1333,60.85,62,40,12.66
284,Lejanias,CO,2021-10-04 11:44:03,3.5251,-74.0216,72.73,75,51,2.8
285,Thompson,CA,2021-10-04 11:40:01,55.7435,-97.8558,44.76,76,1,8.05
286,Vangaindrano,MG,2021-10-04 11:44:04,-23.35,47.6,80.56,63,7,13.44
287,Epe,NG,2021-10-04 11:44:05,6.5841,3.9834,89.26,58,65,7.2
288,Kroya,ID,2021-10-04 11:44:05,-7.6331,109.2461,78.19,78,63,5.84
289,Dhrangadhra,IN,2021-10-04 11:44:06,22.9833,71.4667,91.38,51,13,8.57
290,Sambava,MG,2021-10-04 11:44:06,-14.2667,50.1667,78.1,69,49,10.8
291,Saint-Francois,FR,2021-10-04 11:44:07,46.4154,3.9054,58.44,72,0,3.44
292,Kiunga,PG,2021-10-04 11:44:07,-6.1219,141.2906,77.77,86,100,2.82
293,Chiredzi,ZW,2021-10-04 11:44:08,-21.05,31.6667,70.34,67,100,6.8
294,Dogondoutchi,NE,2021-10-04 11:44:08,13.6393,4.0287,97.65,28,1,6.17
